id,checkpoint_path,logit_cosine,prob_cosine,inverse_kl,symmetric_inverse_kl,top1_agreement,top5_overlap,margin_similarity,confidence_similarity,same_correct,same_wrong,confidence_corr,target_acc,suspect_acc,acc_similarity,load_error
0,suspect_models\suspect_000.safetensors,0.5550669217669638,0.579975753755967,0.5296863468226045,0.5141416484534741,0.522425,0.48539001188986003,0.1647486181668006,0.5923612868532538,0.52225,0.000175,0.12470230264183946,0.999675,0.52225,0.6768533089666142,
1,suspect_models\suspect_001.safetensors,0.12466976515859715,0.08391499058774353,0.2912672227973118,0.32890544196255506,0.044325,0.10827500191219151,0.1325829002045095,0.27679322687387464,0.044325,0.0,0.029929425154457186,0.999825,0.044325,0.5113781641523907,
2,suspect_models\suspect_002.safetensors,0.9182175252512097,0.9995838284254074,0.9334677227828652,0.9333261872954667,0.99965,0.6284600149169565,0.5140371056811884,0.9891207396313548,0.999525,0.000125,0.5160407353772536,0.999675,0.999725,0.9999500024998751,
3,suspect_models\suspect_003.safetensors,0.685336859542178,0.8179612959239186,0.6286469580538571,0.6267164343152195,0.789475,0.5100950124755502,0.2673152833358385,0.8454598794952035,0.78935,0.000125,0.17133425700547847,0.99975,0.789425,0.8262243612252906,
4,suspect_models\suspect_004.safetensors,0.9999999883726239,0.9999999996006489,0.9999999978452921,0.9999999933153391,1.0,0.9998250000104308,0.9992941470831632,0.9999944300666451,0.999675,0.000325,0.9999998665771855,0.999675,0.999675,1.0,
5,suspect_models\suspect_005.safetensors,0.8865238961599767,0.9789887417314153,0.808119638920948,0.8189769004017114,0.975225,0.6459500145990401,0.3712654567663558,0.9543130377829074,0.97505,0.000175,0.3375890436882727,0.99965,0.975175,0.9761097147319359,
6,suspect_models\suspect_006.safetensors,0.9193228139564394,0.9996223144546151,0.9347412007212639,0.9344033397421241,0.9996,0.6332600147802383,0.5183342983394861,0.9890802182376385,0.9995,0.0001,0.5249987931199677,0.999725,0.999675,0.9999500024998751,
7,suspect_models\suspect_007.safetensors,0.34608358059502786,0.2216156843641613,0.33859181288294493,0.388640479022637,0.138475,0.23805500518605113,0.1277797018269077,0.14790822437852622,0.13845,2.5e-05,0.03963392019497495,0.999725,0.13845,0.5372661213415535,
8,suspect_models\suspect_008.safetensors,0.989374616792798,0.9999297484651208,0.9911218428075314,0.9913085507139564,0.9997,0.8613900081444532,0.7119506510727107,0.9967053179353476,0.9995,0.0002,0.9615304628263751,0.99975,0.999525,0.999775050613612,
9,suspect_models\suspect_009.safetensors,0.8650579502560198,0.986101414542069,0.7427110755998642,0.7722018789615482,0.983875,0.6519650144867599,0.3814785806794651,0.9670472265318036,0.983775,0.0001,0.30310349507956114,0.9997,0.98395,0.9844942160964802,
10,suspect_models\suspect_010.safetensors,0.15533976927523035,0.12761917343382165,0.3073493599418551,0.3430868068732321,0.0814,0.13842000262700022,0.1312937005577609,0.26097990095317364,0.0814,0.0,0.04017673443529394,0.999625,0.081425,0.5213220727765613,
11,suspect_models\suspect_011.safetensors,0.5941047006288543,0.4292735109131442,0.4159679682590067,0.456490738440305,0.361125,0.44155001051612197,0.14904045402836055,0.28583107618689535,0.361,0.000125,0.0782917804205875,0.999725,0.361025,0.6102398242509306,
12,suspect_models\suspect_012.safetensors,0.47978279682465363,0.45221786594248004,0.4554709513299167,0.45336585473157465,0.38435,0.4133300098411739,0.143914506378863,0.4582492006719112,0.384225,0.000125,0.08382734189072426,0.999475,0.38425,0.619108792892631,
13,suspect_models\suspect_013.safetensors,0.8669896559000015,0.9994554310493171,0.7977569410901517,0.8249467682130635,0.999375,0.5846000142682344,0.40954026763746515,0.9896160768404603,0.9993,7.5e-05,0.3443930369871544,0.99955,0.999675,0.9998750156230471,
14,suspect_models\suspect_014.safetensors,0.9946361689209938,0.9999671458005905,0.9952770249277353,0.9953304072648287,0.99985,0.8986400060102343,0.7534624625317753,0.9973755099594593,0.99955,0.0003,0.976966710005695,0.999625,0.999625,1.0,
15,suspect_models\suspect_015.safetensors,0.6614611990334699,0.5487271009592063,0.4657067281395197,0.4958093429028988,0.492675,0.512450012107566,0.1527307997985743,0.3820662216156721,0.492475,0.0002,0.10941425150038432,0.999575,0.49255,0.663558998689471,
16,suspect_models\suspect_016.safetensors,0.8483568062528968,0.9911838730518976,0.8511658145740628,0.8587444359969347,0.9902,0.6264700145788491,0.44065296535007653,0.980262697198987,0.9901,0.0001,0.11929103355432413,0.99975,0.990225,0.990564869616899,
17,suspect_models\suspect_017.safetensors,0.8077595575317741,0.9983729686886073,0.7800153679482639,0.7654955469392241,0.99875,0.5144400129858404,0.34535975515916945,0.9422092045590281,0.998725,2.5e-05,0.43786250401132504,0.999675,0.999025,0.9993504222255536,
18,suspect_models\suspect_018.safetensors,0.3472735346888832,0.2600510186443874,0.3634925395589322,0.3892681311737746,0.181125,0.27628000617958604,0.13001317662987857,0.2570443422615528,0.1811,2.5e-05,0.05291681807741043,0.99955,0.18115,0.5499340079190497,
19,suspect_models\suspect_019.safetensors,0.9571895116075874,0.9926582894904307,0.9613066927306354,0.961198756049946,0.991575,0.7180800137210638,0.5712769743496552,0.9856932180508972,0.991425,0.00015,0.36970423058821367,0.999625,0.99165,0.9920880974230512,
20,suspect_models\suspect_020.safetensors,0.3231742592758965,0.20112914633270812,0.33364608724080025,0.3847497438147664,0.11545,0.2177600047070533,0.1275628803140484,0.14268092100322247,0.115375,7.5e-05,0.03882402154616448,0.999725,0.115375,0.5306869742882161,
21,suspect_models\suspect_021.safetensors,0.9829610119029879,0.9986542570861988,0.9510167980030179,0.951785543590784,0.9984,0.8009700110655278,0.5246314234538004,0.9859971865952015,0.9982,0.0002,0.6055383032058131,0.999625,0.998375,0.9987515605493134,
22,suspect_models\suspect_022.safetensors,0.9754057004183531,0.9977440906656906,0.9402676144845784,0.9392290885776281,0.9974,0.7775700120858848,0.48229678578563034,0.9778492276802659,0.99715,0.00025,0.5981609596850598,0.99965,0.99725,0.997605746209098,
23,suspect_models\suspect_023.safetensors,0.7942376679191366,0.7646474384492671,0.5751443412080407,0.5906207895364612,0.7397,0.60346001406461,0.19007761150617153,0.5728325736567378,0.7396,0.0001,0.17152014884788636,0.999675,0.739725,0.7936822889797215,
24,suspect_models\suspect_024.safetensors,0.9492049354970455,0.99383907101769,0.9101094794824719,0.9095953900612891,0.992975,0.7268800135180354,0.43075111120902004,0.9672598285660148,0.992675,0.0003,0.5068811327541909,0.9995,0.9928,0.9933445912387008,
25,suspect_models\suspect_025.safetensors,0.9313870521068573,0.9839495792258298,0.8819330596767366,0.8801569451838732,0.981475,0.6907050140827894,0.39574660218283536,0.9478338965430856,0.981125,0.00035,0.3766218608681728,0.99945,0.981275,0.9821494340363888,
