id,checkpoint_path,logit_cosine,prob_cosine,inverse_kl,symmetric_inverse_kl,top1_agreement,top5_overlap,margin_similarity,confidence_similarity,same_correct,same_wrong,confidence_corr,target_acc,suspect_acc,acc_similarity,load_error
0,suspect_models\suspect_000.safetensors,0.5519198709608987,0.5887834805854746,0.5205723294172436,0.5020991853173822,0.531075,0.48519001185819505,0.15302144227223471,0.5987972285315395,0.53105,2.5e-05,0.11379872747952306,0.999875,0.53105,0.680816298742192,
1,suspect_models\suspect_001.safetensors,0.12336324115174939,0.08389990047980997,0.2743778709836304,0.3111402443345636,0.045075,0.10830000191703439,0.12241665104655548,0.2739925429463387,0.045075,0.0,0.01924308987687523,0.999875,0.045075,0.511561285041948,
2,suspect_models\suspect_002.safetensors,0.9225792564868927,0.9999816054150462,0.9397143273361027,0.9396021574944258,0.9999,0.6305400148939341,0.5201717646218836,0.9959272325262427,0.999825,7.5e-05,0.5811414536003575,0.999875,0.999875,1.0,
3,suspect_models\suspect_003.safetensors,0.6916140218514949,0.8396858128170945,0.633771004233323,0.6324157226236538,0.8147,0.5164250126045197,0.25956973088048396,0.857987840397656,0.814625,7.5e-05,0.12211652027585361,0.999875,0.81465,0.8437216562256112,
4,suspect_models\suspect_004.safetensors,0.9999999881669879,0.9999999999389052,0.9999999985724688,0.9999999936819076,1.0,0.9998450000092387,0.9992897325530649,0.9999974594160914,0.999875,0.000125,0.9999998065579349,0.999875,0.999875,1.0,
5,suspect_models\suspect_005.safetensors,0.8909502869471908,0.987283467102582,0.8137756214577705,0.8259389721982181,0.985375,0.6490400145620108,0.36999653568444774,0.9665145812734961,0.985325,5e-05,0.16655114133974758,0.999875,0.9854,0.985731536016166,
6,suspect_models\suspect_006.safetensors,0.9237521159380674,0.9999539882257581,0.9403168648689986,0.9400512908108533,0.99975,0.6353300147622823,0.5222596892189234,0.9959815234139562,0.99975,0.0,0.564264349918141,0.999875,0.999875,1.0,
7,suspect_models\suspect_007.safetensors,0.3445848734775558,0.22510282423236058,0.3162559272225946,0.36482921833358706,0.1428,0.23833000519201158,0.11852839597417042,0.1443437883451581,0.1428,0.0,0.031248748971267105,0.999875,0.1428,0.5384812137366558,
8,suspect_models\suspect_008.safetensors,0.9897783946722746,0.9999939816564322,0.9913314387410879,0.9915463046044112,0.9999,0.8594250082530082,0.7081153336763382,0.9985186538755894,0.999825,7.5e-05,0.9260076269502774,0.999875,0.999875,1.0,
9,suspect_models\suspect_009.safetensors,0.8688507351383566,0.9925422235037317,0.7421389500856399,0.7758682497411966,0.991675,0.6526350145079195,0.3765418688424863,0.9782326553598046,0.9916,7.5e-05,0.12807200319426668,0.999875,0.99165,0.991842098737881,
10,suspect_models\suspect_010.safetensors,0.15347784492726788,0.12837768730682791,0.290467919947207,0.3250047072486952,0.08395,0.13797000261619688,0.12163004996534436,0.2608442514359951,0.08395,0.0,0.030976787722642663,0.999875,0.083975,0.521947909598622,
